unix_second,mean_cpu_power_mW,n_samples
1788273311,110.0,5
1788273312,95.8,5
1788273313,98.8,5
1788273314,94.8,4
1788273315,129.6,5
1788273316,96.4,5
1788273317,97.8,5
1788273318,89.6,5
1788273319,87.5,4
1788273320,77.8,5
1788273321,80.6,5
1788273322,75.0,5
1788273323,78.8,5
1788273324,68.2,4
1788273325,1064.0,5
1788273326,1091.0,5
1788273327,746.0,5
1788273328,243.4,5
1788273329,98.4,5
1788273330,174.2,4
1788273331,5175.2,5
1788273332,5040.2,5
1788273333,163.0,5
1788273334,148.2,5
1788273335,119.4,5
1788273336,134.0,4
1788273337,159.4,5
1788273338,154.2,5
1788273339,110.2,5
1788273340,127.8,5
1788273341,133.2,5
1788273342,716.2,4
1788273343,123.6,5
1788273344,130.8,5
1788273345,125.0,5
1788273346,166.0,5
1788273347,605.2,4
1788273348,148.4,5
1788273349,117.4,5
1788273350,700.4,5
1788273351,199.6,5
1788273352,152.8,4
1788273353,157.8,5
1788273354,174.8,5
1788273355,165.2,5
1788273356,256.8,5
1788273357,2326.2,5
1788273358,4784.0,4
1788273359,1403.6,5
1788273360,107.6,5
1788273361,191.6,5
1788273362,236.8,5
1788273363,167.8,5
1788273364,351.5,4
1788273365,129.2,5
1788273366,1182.4,5
1788273367,4433.6,5
1788273368,5111.4,5
1788273369,5900.2,5
1788273370,5661.4,5
1788273371,5848.6,5
1788273372,5639.6,5
1788273373,5882.2,5
1788273374,5721.0,4
1788273375,5778.4,5
1788273376,5899.4,5
1788273377,5673.6,5
1788273378,5896.6,5
1788273379,5676.0,5
1788273380,5891.6,5
1788273381,5634.0,5
1788273382,5939.6,5
1788273383,5646.2,5
1788273384,5879.6,5
1788273385,5700.2,5
1788273386,5769.0,4
1788273387,6112.4,5
1788273388,5634.6,5
1788273389,9025.2,5
1788273390,6721.2,5
1788273391,5899.2,5
1788273392,5758.6,5
1788273393,5854.2,5
1788273394,5786.2,5
1788273395,5888.4,5
1788273396,5948.8,5
1788273397,5953.6,5
1788273398,5875.8,5
1788273399,5867.0,4
1788273400,5880.2,5
1788273401,5796.0,5
1788273402,5984.0,5
1788273403,5888.8,5
1788273404,5728.0,5
1788273405,6441.8,5
1788273406,6140.2,5
1788273407,5696.4,5
1788273408,5695.4,5
1788273409,5706.6,5
1788273410,5678.2,4
1788273411,5674.2,5
1788273412,5695.4,5
1788273413,5676.6,5
1788273414,5710.4,5
1788273415,5684.0,5
1788273416,5675.2,5
1788273417,5690.6,5
1788273418,5797.6,5
1788273419,7133.6,5
1788273420,8731.4,5
1788273421,5902.5,4
1788273422,5834.6,5
1788273423,6172.0,5
1788273424,5838.6,5
1788273425,5913.6,5
1788273426,5894.0,5
1788273427,5827.2,5
1788273428,5891.8,5
1788273429,5960.8,5
1788273430,5838.0,5
1788273431,6112.4,5
1788273432,5937.2,5
1788273433,6312.6,5
1788273434,4698.2,4
1788273435,864.6,5
1788273436,791.2,5
1788273437,523.8,5
1788273438,2081.8,5
1788273439,687.6,5
1788273440,822.0,4
1788273441,1910.6,5
1788273442,1689.6,5
1788273443,1724.2,5
1788273444,1005.6,5
1788273445,1568.0,5
1788273446,384.2,4
1788273447,170.0,5
1788273448,196.6,5
1788273449,98.0,5
1788273450,100.8,5
1788273451,87.8,4
1788273452,243.0,5
1788273453,792.6,5
1788273454,4755.4,5
1788273455,778.6,5
1788273456,260.2,5
1788273457,352.8,5
1788273458,248.0,4
1788273459,1178.8,5
1788273460,205.2,5
1788273461,98.4,5
1788273462,103.6,5
1788273463,124.2,4
1788273464,373.0,5
1788273465,213.6,5
1788273466,211.0,5
1788273467,163.0,5
1788273468,169.4,5
1788273469,298.8,4
1788273470,139.4,5
1788273471,1542.0,5
1788273472,4529.8,5
1788273473,5260.8,5
1788273474,5794.2,5
1788273475,5754.8,5
1788273476,5779.0,5
1788273477,5698.5,4
1788273478,5837.4,5
1788273479,5731.2,5
1788273480,5990.2,5
1788273481,5807.4,5
1788273482,5794.8,5
1788273483,5807.2,5
1788273484,6929.6,5
1788273485,8172.2,5
1788273486,7665.0,5
1788273487,5919.6,5
1788273488,5761.4,5
1788273489,5897.4,5
1788273490,5958.5,4
1788273491,5690.4,5
1788273492,5968.0,5
1788273493,5662.0,5
1788273494,5990.4,5
1788273495,5755.2,5
1788273496,5883.2,5
1788273497,5758.4,5
1788273498,5853.0,5
1788273499,5790.2,5
1788273500,5812.4,5
1788273501,5839.6,5
1788273502,5759.0,4
1788273503,6140.6,5
1788273504,5723.6,5
1788273505,5685.2,5
1788273506,5690.4,5
1788273507,5898.0,5
